comment_content,comment_rate,comment_time,comment_vote,comment_author
在记忆都可以移植的发达年代依然解决不了不孕不育。哈哈哈,allstar20 rating,2017-04-29 15:26:08,3739,街灯下de狂想
特别想吐槽花房那个人像！！！,allstar40 rating,2017-04-29 13:57:24,4254,谢九郎
四大主演里，黄渤最没争议，段奕宏最科班最“话剧”，徐静蕾虽然也科班，但像是表演课不好好上挂科的那种科班，最惊喜的，反倒是杨子姗，弱弱的一声“代晨姐”，就透出一丝甜腻和暧昧，误导了不少观众。华语片，都像这么拍，就有希望。,allstar40 rating,2017-04-28 23:23:04,3904,扭腰客
為自己的勇氣與野心點贊！,allstar30 rating,2017-04-21 09:28:27,2941,浮出水面的正道
演员表演没有什么问题，但剧本上刻意的为了反转而反转这点很令人反感，设计痕迹很严重，效仿《盗梦空间》《记忆碎片》《禁闭岛》之类的电影不管结构还是情感都透漏着剧作者的投机和自得；交响乐的使用是减分项；整部电影为了形式而形式，情感的处理都是突兀的。创作者还是要多写些打动自己的故事吧～,allstar10 rating,2017-04-23 02:59:01,2461,二月鸟语
黄渤扮演的角色叫江丰，拿错了段奕宏的记忆之后江信江疑，段奕宏拿错了江丰的记忆，在最后要对着徐静蕾举枪的时候因为回忆起他们的恋爱往事导致思想江化，大家一起陷入江局。这不是科幻电影，分明是魔法片……,allstar40 rating,2017-04-28 16:56:05,1607,Roy
陈正道肯定哭晕在厕所：《催眠大师》我解释半天你们嫌多余，这部不解释了你们又说我敷衍观众。,allstar30 rating,2017-04-25 11:30:03,1726,翻滚吧！蛋堡
就……一群操着北京国语的人跑到一个状似殖民地的地方拍了一部以为自己是LAPD的片子，而且舞台感很重（黄渤呆的监狱都可以办展览了吧,allstar20 rating,2017-04-23 17:49:10,865,GuessA
wtf ？！！！！！！就没人关心(伪)姬佬的死活吗？？？？！！！！,allstar30 rating,2017-04-28 21:34:37,917,艺仔没公德
电影比第一部更紧凑，原本是部三星的电影，但由于此类系列在国内简直稀缺到像国家保护动物一样，所以请“大师系列”继续拍下去。,allstar40 rating,2017-04-24 10:05:41,1350,才让才让
妈妈被爸爸打，觉得妈妈很可怜，于是杀了妈妈，不杀爸爸，这个我非常非常能够理解，简直太合理太棒了！但你大爷的，竟然还上瘾了…,allstar20 rating,2017-04-29 22:09:23,902,脸部僵硬患者
振聋发聩的感悟：只有长成徐静蕾这样，才有资格放弃写作，在家专职备孕。,allstar40 rating,2017-04-28 17:19:51,773,熊阿姨
不如《催眠大师》，除了布景美术和制作依然精致外，故事方面就各种绕，以至于最后的反转都极其刻意，虽然导演一直强调要看第二遍，但带着已知凶手的答案，去拼贴那些所谓的细节，来圆这个故事，本身就有点勉强。#配乐弘大的有些做作..另外，段奕宏变成黄渤回忆的时候，真实的令人发笑！#,allstar30 rating,2017-04-23 23:47:10,870,朝阳区白百合
复杂的人物动机，情节一直在凶手是谁的推理上，人物的情感和成长没了，情节太多以致于情感的力度达不到，加上大反派是缺失的，因此这个故事也不可能是高智商，只是在各种绕，拖到最后一秒的大招显得有点刻意。不过小格局的片子很精致，记忆改变人的行为，在人物身份互换的细节上很下功夫，值得二刷。,allstar30 rating,2017-04-21 17:54:19,910,亵渎电影
天啊剧本怎么回事，还不如《催眠大师》。强行科幻，强行误导，强行反转，强扭的瓜不甜。借用文文的话：国产片的烧脑就像自焚。,allstar20 rating,2017-04-28 14:52:49,556,萨库拉
导演很了解豆瓣，本身也是深度影迷，甚至在拍这部悬疑片时都把豆瓣影迷当作交手对象，想着怎么拆他们的招，怎么反转，确实做得很不错。就是音效做得太满（现场有人问这个问题，他听成了音效为什么那么大然后做解释），但能看出导演真的很用心在做类型片。,allstar40 rating,2017-04-20 20:39:06,765,唐朝
第一遍三星，第二遍四星，第三遍五星,allstar50 rating,2017-04-24 07:59:36,783,圣墟
看的时候会有一种博弈的快感，那种熟悉的被主创连环设计与反拆解设计的博弈，我对这样的“设计感”总是比较感冒，跟陈的《催眠大师》比有进步也有小遗憾，整体依然喜欢，华语这个系列可以多拍。,allstar40 rating,2017-04-20 23:50:33,407,心生
每集都要新增常驻，这家的人口快控不住了吧。中规中矩的续集动画，以及——小黄人真是蜜汁体质啊，自己担当主角的大电影不好玩，当配角却能承包所有笑点...,allstar30 rating,2017-06-26 04:24:52,1378,同志亦凡人中文站
看完才发现，一堆学前儿童聚在一块两小时没有笑声原来是一件很恐怖的事。,allstar10 rating,2017-06-30 23:06:10,1410,幻覺大師
今年看过的最神奇片子。总共三条线，一条千里寻亲，一条千里寻独角兽，一条千里炸好莱坞。总共三种想象，失业是可以复职的，智商是可逆的，被无视的人是能够得到关注的。毫无关联，毫不相交，组成一部上至99岁下至9岁都无法相信的魔幻世界。好，我是来听大张伟配音的。,allstar20 rating,2017-06-30 21:51:13,887,李大立
虽然小黄人是配角，但是每次出现，操着一口汉日意大利西班牙语糅杂的小黄人语，就激发萌萌的笑点。阴阳两派的搭档设定，偷钻石路上挺好玩。第一次和学生包场看，体验非凡，恐怖海峡音乐响起尤其振奋。另外现在豆瓣评分越来越苛刻，仿佛打高分就会显示口味大众不高端？但是一些文艺片烂成渣渣还捧上天？,allstar30 rating,2017-07-02 10:41:23,1310,刘小黛
黔驴技穷强行续集，各种尬舞想复制《欢乐好声音》的成功？连小黄人都变得这么无聊了，大概也只有铁杆真爱粉才会硬撑看完并强行从嘴角挤出母爱般的微笑吧，尽管这个孩子已沦为了圈钱工具，远不如初生时那般可爱。,allstar20 rating,2017-06-24 13:19:48,792,痞影人科莱昂
一开始看豆瓣分这么低吓死我了2333...还好来看了，我觉得还是好好笑，天啊dru太可爱了哈哈哈哈..,allstar50 rating,2017-07-04 12:12:45,1104,超高校软体动物
与功夫熊猫3类似，回归第一部架构的一部续集。优点还在，但是现在这个年代，大家认为不超越就是平庸。,allstar40 rating,2017-07-01 15:57:36,707,EC@Star
看点是向特摄片致敬和最后尬舞大战，重点放格鲁两兄弟，小黄人成了刷存在感的摆设，与外传疯狂榨取其贱萌价值的做法呈两个极端，80分钟一主两副三条线，结果没一条出彩，笑点硬撑，无聊透顶，这类故事创意均已匮乏，只凭个人气角色就硬拍续集的系列真没必要继续了。烂番茄开局89%简直不可思议。4/10,allstar20 rating,2017-06-17 17:48:20,434,瓦力
Mel的监狱回忆我简直要哭了呢。,allstar50 rating,2017-06-30 17:02:52,319,11
偶尔好看，整体难看。和一群小朋友看，难得的没有以往的吵闹和嘻嘻哈哈声，笑声加起来也就两三次，第一次在照明娱乐三个小黄人搞笑的桥段上，剩下的也还都是在小黄人出来的时候。兄弟情、斗坏蛋和小黄人等几条线没有一个好玩的，整体用力平均，没啥侧重点，失望！,allstar20 rating,2017-07-01 16:37:47,370,方枪枪
音浪太强不晃会被撞到地上(≖‿≖)✧ 真希望Agnes永远都不要长大。,allstar30 rating,2017-06-25 02:38:45,338,李阿斗
哪有说的那么不堪啊…看的点映坐满了人，虽然没什么全场都在爆笑的情节但还是有一些有意思的桥段的，可能也是1实在太棒了作为后续很难再超越…支线有点多而时间不够长确实显得有些情节很薄弱…找到几处彩蛋很开心嘻嘻,allstar40 rating,2017-07-01 16:48:44,327,刘大怪提不起劲
这个系列的价值已经被吸干了，真的没有再拍下去的必要了。这一部的故事乱七八糟，支线多到自己都讲不完，连小黄人奋力卖萌也得不到影院里的半点笑声，这是一个多么可怕的事实！主创居然还用大反派来讽刺好莱坞，你们把电影拍成这样还有脸讽刺别人？先照照镜子看清自己吧。,allstar20 rating,2017-07-04 10:28:58,180,饮歌
为了卖玩具和周边，新角色越来越多，每个角色还要给戏份，结果格鲁兄弟情的主线被各种支线冲击的支离破碎，偷钻石的主线都快沦为摆设了，只是编剧自己快要写睡着的时候，拿出来提醒一下自己，戏剧任务还要偷钻石。小黄人的戏越来越想，以后想看小黄人，只能等小黄人番外篇的续集了，出品方真奸诈。,allstar20 rating,2017-07-07 14:59:20,144,亵渎电影
太好了Gru，我知道你再也不会孤独了。,allstar50 rating,2017-07-06 17:12:17,151,木由
主黑MJ，兼黑肥宅和欧洲人。好好笑，一扫照明娱乐前两部的颓势，果然好料都给主菜留着呢。最可爱的是大反派，童星出身，八十年代的pop star，一言不合就斗舞，怀旧金曲crossover哥斯拉，十分kuso。,allstar40 rating,2017-07-01 17:05:00,104,m89
很好看呀  小黄人你们都想讨论出点人生意义吗。。。。看完立刻去吃了麦当劳套餐,allstar50 rating,2017-07-05 07:28:46,126,贪睡神兔
